Date,State,PM25,PM10,NO2,Humidity,Temperature,Month,DayOfWeek
2024-01-01,Punjab,44.01081557298667,454.60139306985167,90.8316227682059,71.78143122519639,11.728147241603113,1,0
2024-01-02,Maharashtra,306.50703835917153,148.75343765911637,30.49297071448101,36.34677663182872,17.202687871823045,1,1
2024-01-03,Gujarat,312.4131004900953,188.58116725027443,50.830692070713944,68.09730761526785,39.41669187365456,1,2
2024-01-04,Punjab,50.18418615403864,349.7319614406166,72.49567660521164,82.74557570525486,44.436976342229066,1,3
2024-01-05,Gujarat,296.6946553656705,234.70954400972664,88.64939099334163,65.85194977465571,29.143354576750244,1,4
2024-01-06,Delhi,292.6822786373758,393.79001669112904,96.03910402414783,85.32643412371986,16.348766737568727,1,5
2024-01-07,Maharashtra,380.76450083261784,186.802205069076,84.83780301844183,48.54660434779141,34.88911382255928,1,6
2024-01-08,Gujarat,350.686375078855,205.32303176624382,40.59911362897989,73.98767618972019,44.66903785669829,1,0
2024-01-09,Punjab,290.9539543354445,416.0632010124749,46.00847623973169,50.093518401187374,23.435713334805445,1,1
2024-01-10,Delhi,226.8085867345315,85.95305119029848,54.632055717366505,43.01461168019961,18.48646278281631,1,2
2024-01-11,Karnataka,231.88919396690008,463.7805300662867,76.15936059345565,43.55552233754915,39.52828656197987,1,3
2024-01-12,Karnataka,338.7881417948211,56.216233401774865,63.98904277701088,61.84868398804394,29.804023779406837,1,4
2024-01-13,Gujarat,380.76476048548426,267.93079571089453,81.84588546502553,80.85359921985291,16.22995377599141,1,5
2024-01-14,Delhi,222.93125990490847,339.29014593558844,95.1964202586961,28.78343749439329,11.048534527675915,1,6
2024-01-15,Karnataka,59.33179059003179,260.8188078051832,23.96196700645118,76.25090694409701,30.022667422916747,1,0
2024-01-16,Karnataka,189.50670179901223,497.96541662925637,68.56813467399857,41.30948322376045,30.927771537992044,1,1
2024-01-17,Karnataka,184.5872537474838,485.8073836564567,13.10275640219242,45.62212655682379,34.149102587114,1,2
2024-01-18,Gujarat,324.2552540762565,101.53330634666915,97.833265930223,51.11899525588835,24.501088088871285,1,3
2024-01-19,Punjab,341.24415124181223,443.5432181675559,92.26127610569263,80.12871959396435,25.546211858176655,1,4
2024-01-20,Maharashtra,287.72267519083147,277.9580328896802,80.91806317658985,32.85007236764535,13.648138035568502,1,5
2024-01-21,Delhi,378.3878132776241,92.63493547361755,78.38988508669713,65.78258443416031,17.148029833230378,1,6
2024-01-22,Karnataka,322.0158288934234,111.46684928465235,13.701907853761913,20.65652781058455,18.450504903710716,1,0
2024-01-23,Gujarat,47.510679691490026,295.07173560521994,11.189980469453792,34.02203957413887,28.390681748246,1,1
2024-01-24,Karnataka,146.49776567356622,264.1009643610769,95.11158177887519,48.977209834457554,38.53848579219949,1,2
2024-01-25,Punjab,104.88206008065163,250.63900156451228,33.0913073476719,22.510338408491236,17.704214500170334,1,3
2024-01-26,Karnataka,182.48504705293124,134.76920060085735,22.527629971393225,70.03605377111134,37.498962060811834,1,4
2024-01-27,Maharashtra,286.5978180650413,272.5474858735562,49.36307588409064,35.99904007673784,22.29769401157342,1,5
2024-01-28,Punjab,65.96496564234074,478.1037070374603,61.06683834821604,85.0943464687599,26.420922601807472,1,6
2024-01-29,Delhi,169.42772190650234,83.72181087838793,81.30253843624398,28.65437363375662,12.408285829127042,1,0
2024-01-30,Gujarat,286.94985246907453,247.75760991120293,81.33056871248024,33.68867371949551,14.781261268797827,1,1
2024-01-31,Gujarat,158.73447836576605,342.74213048046477,52.16677927994545,63.670814804601186,16.205843394196787,1,2
2024-02-01,Punjab,112.96313790895101,59.46138196119705,21.077457936565683,57.22206058198705,30.987123912058614,2,3
2024-02-02,Delhi,197.52537767647118,135.58793581329925,76.66263688476147,80.14963528458753,23.08631989710242,2,4
2024-02-03,Delhi,188.23968775748247,307.5206472788893,42.370358572914974,74.5279616261696,21.713052552621303,2,5
2024-02-04,Punjab,363.8848442699338,390.6607178152099,31.601517871220743,62.55950939808968,13.017404862388258,2,6
2024-02-05,Maharashtra,191.13446998119093,296.2096421604934,47.240037754838,85.49315048047023,12.984944056487969,2,0
2024-02-06,Gujarat,147.99073168603852,490.5223877549644,82.45832448518851,76.83668119716353,42.11331503741955,2,1
2024-02-07,Gujarat,67.83702342350688,470.98477766290966,51.697729537849554,52.84460063331319,12.222881134219646,2,2
2024-02-08,Maharashtra,284.74740437381024,69.21096436131555,99.66685111734779,25.956722261364717,11.491964393054326,2,3
2024-02-09,Gujarat,65.58967561843554,83.81960350386677,71.88531148081023,86.70801345785517,43.816517232460626,2,4
2024-02-10,Gujarat,114.45071719346237,271.3884170425775,85.98454454954779,52.87398793155616,13.341030438379589,2,5
2024-02-11,Punjab,67.09470280881271,326.2245012530121,34.321423703828046,57.51734390721469,23.44435781440158,2,6
2024-02-12,Maharashtra,241.76301235363425,287.20305565549734,68.4605852666372,41.72798620855153,40.69415653287393,2,0
2024-02-13,Punjab,249.124359832524,232.4165417331503,43.15004179300003,87.81704243993556,22.447979234345052,2,1
2024-02-14,Gujarat,292.15000044139225,113.85345115656925,93.85538428629553,73.19093824391011,17.03406994252529,2,2
2024-02-15,Punjab,213.3076259049977,98.49347232333454,64.2316161734427,37.55822578453366,35.24057795206376,2,3
2024-02-16,Delhi,155.07333578023054,483.0121580642566,39.89275777525035,77.16986382425478,43.1195926808397,2,4
2024-02-17,Karnataka,324.3216823389325,161.603142601414,25.797436335574375,41.016851389282934,25.483608181998022,2,5
2024-02-18,Punjab,258.79138755030624,433.5052966440777,74.40965181224436,49.72776714254148,31.284116711365066,2,6
2024-02-19,Gujarat,166.1261201124052,424.46268862195717,11.260284807978703,47.86727536126183,12.075195584979653,2,0
2024-02-20,Delhi,343.11824532743725,146.2992779521121,55.74629989317809,31.43273537369223,25.44139156079663,2,1
2024-02-21,Gujarat,371.82284523449556,81.7077223892479,11.064830643880544,74.41980358850434,41.83634835517333,2,2
2024-02-22,Gujarat,71.06024471069532,308.5325031342216,25.937957399917185,29.37575220734312,16.632698046775037,2,3
2024-02-23,Punjab,251.55139375898332,439.35980345938094,10.345568139509421,54.54054917477488,33.26398142459094,2,4
2024-02-24,Karnataka,142.3553545869832,361.4644006916979,34.36150013468644,79.63991523132509,41.66574477933203,2,5
2024-02-25,Gujarat,315.10788704521906,335.440134641467,16.97011989638238,23.277109602236045,27.891227218672505,2,6
2024-02-26,Delhi,369.47539732781513,485.22211376171225,55.557122874164996,49.37165409950109,27.831264767996267,2,0
